PO;Year;Littering;Vandalism;Drunken people. outdoors;People under the influence of drugs. outdoors;Residences. hangouts for alcohol abusers;Residences. hangouts for drug abusers;People arguing and fighting. outdoors;Women being assaulted;Youth gangs arguing and disturbing the peace;Cars driving too fast;Bus driving with mopeds. motorbikes;Traffic rules not respected;Proportion perceived at least one problem;In the last 12 months been subjected to physical violence;Victimized by theft;Victimized by vandalism;Proportion subjected to at least one mass crime;That you were worried about burglary in your home;That you were worried about burglary in your storage room;Worried about your car. motorbike. moped or bicycle;Worried about being assaulted/abused in area;Proportion worried about some type of crime;Safe out alone late at night;Unsafe out alone late at night;Afraid of specific people in own residential area;Restaurant. bar or disco;Sporting events;Association meetings. courses and the like;Riding the bus or train;Proportion abstained from some type of activity;The police care about local problems;The police do NOT care about local problems;Relationship quota;Proportion not subjected to any crime whatsoever;Reporting rate;Victimized by fraud;Victimized by threats;Residents would NOT act in the event of a fight;Weak cohesion in the residential area;Nearly drug sales observed in the area
Malmö;2015;38.89;35.06;19.22;18.12;8.61;8.98;15.2;8.56;24.13;46.44;21.75;32.12;75.21;1.95;14.94;11.05;22.86;44;50.99;58.14;36.52;75.72;54.39;30.89;10.51;8.3;7.04;4.06;11.91;18.21;48.63;11.64;23.94;69.47;39.62;5.39;6.44;;;
Malmö;2013;45.55;44.6;22.06;21.7;9.35;11.56;20.9;10.92;33.82;45.81;34.59;31.85;80.91;2.16;14.9;10.98;22.59;40.65;44.64;57.07;37.05;72.23;48.56;36.62;13.11;6.22;3.36;3.26;9.57;15.15;49.64;13.56;27.32;68.11;40.53;4.87;6.89;;;
Malmö;2012;45.63;43.93;21.75;19.1;9.97;10.78;20.54;11.45;33.32;44.54;32.72;31.28;79.3;2.24;15.85;12.94;24.94;44.69;49.5;61.48;38.71;76.93;49.21;36.18;13.44;8.33;4.15;4.34;11.31;17;48.26;14.44;29.93;68.56;42.2;;;;;
Malmö;2011;50.25;48;25.94;21.57;11.86;11.05;22.37;12.72;38.74;44.85;38.74;32.12;82.64;2.72;15.89;14.48;25.63;45.11;48.39;62.69;39.1;77.56;48.49;37.41;13.8;8.77;4.89;3.61;11.39;17.57;46.75;14.75;31.55;64.58;37.61;;;;;
Malmö;2010;44.13;43.96;23.95;20.09;10.54;10.87;20.81;11.54;35.76;45.49;36.1;30.64;81.62;3.38;17.21;13.77;27.49;44.66;49.51;62.62;44.56;79.18;45.99;40.83;13.73;10.97;5.89;6.1;14.94;22.11;51.16;13.12;25.64;64.31;38.78;;;;;
Malmö;2009;45.64;43.53;22.71;18.23;9.73;9.6;17.85;11.38;31.19;45.61;37.71;30.72;82.04;3.92;19.01;15.16;29.38;47.09;50.19;61.98;37.09;77.59;52.13;32.75;9.97;8.02;3.18;2.99;9.85;15.3;44.75;12.47;27.87;64.95;37.14;;;;;
Malmö;2008;45.65;47.71;23.37;18.29;9.68;9.4;20.78;16.25;38.77;47.43;33.45;31.62;82.86;4.21;20.48;20.24;32.75;46.59;50.07;63.27;41.34;78.81;47.54;38;9.65;7.59;2.49;3.35;9.89;15.06;41.22;14.83;35.97;;;;;;;
Malmö;2007;46.04;45.5;23.39;18.1;11.5;10.8;19.82;15.36;34.96;49.34;37.35;30.63;82.12;4.01;21.83;18.72;33.06;45.25;49.76;65.92;39.24;79.43;48.01;36.78;10.65;8.22;3.03;3.78;9.62;15.69;43.17;12.58;29.14;;;;;;;
Södra Skåne;2024;33.33;28.57;10.89;10.27;5.28;5.61;7.49;5.41;17.99;43.12;23.97;23.94;69.72;0.87;6.83;5.49;11.47;42.89;40.14;47.43;20.55;64.75;69.28;19.09;6.46;6.05;3.8;1.98;8.46;12.51;46.28;8.74;18.88;79.35;36.94;5.44;3.69;16.08;9.98;7.28
Södra Skåne;2023;33.4;30.07;10.73;9.67;5.08;5.38;7.57;6.16;18.98;44.45;22.68;24.64;69.69;0.55;7.67;6.41;12.42;45.45;42.51;49.22;21.62;66.2;67.64;20.28;6.63;5.17;3.38;2.2;8.86;12.37;46.82;9.29;19.85;79.04;37.31;4.82;3.57;15.06;10.33;7.13
Södra Skåne;2022;34.59;32.78;11.83;10.67;5.17;5.91;9.4;7.52;20.95;45.39;23.67;24.81;71.57;0.9;8.07;5.98;12.72;47.45;43.43;51.55;22.9;68.13;66.59;20.91;7.45;6.09;3.04;2.52;10.25;13.54;46.56;10.44;22.43;77.79;36.56;4.09;4.07;15.62;10.41;7.53
Södra Skåne;2021;37.3;31.33;11.31;9.71;4.54;5.2;8.93;6.8;21.01;44.77;24.83;24.99;71.81;0.81;6.91;5.88;11.67;48.12;43.17;52.13;24.59;68.54;64.2;22.95;7.26;4.73;2.11;1.95;9.35;11.55;46.65;10.61;22.74;78.94;36.53;3.84;3.86;16.19;10.53;7.21
Södra Skåne;2020_2;37.4;34.68;12.3;10.59;5.26;5.74;8.85;7.24;22.8;46.83;27.19;27.21;73.33;1.19;7.56;7.14;13.04;50.91;45.82;53.15;26.52;70.46;62.33;24.71;8.17;6.15;2.64;2.62;10.43;13.18;46.25;10.84;23.44;77.1;36.82;4.15;4.2;16.92;10.94;7.1
Södra Skåne;2019;35.73;35.12;13.01;10.94;5.74;6.07;9.98;8.87;22.95;48.55;25.63;27.85;74.93;1.07;8.26;6.65;13.56;54.66;47.43;54.86;27.01;73;63.76;25.06;8.08;6.9;3.15;3.09;10.87;14.56;46.74;11.84;25.34;77.4;38.45;4.75;4.97;15.89;11.17;
Södra Skåne;2018;36.35;34.34;12.8;10.9;5.36;5.63;9.55;9.13;21.79;49.05;24.35;27.67;74.83;1.03;8.87;7.56;14.78;54.84;48.32;54.37;25.96;73.19;64.4;24.12;7.72;6.45;3.44;2.71;10.16;13.93;45.04;12.35;27.41;76.52;40.81;4.73;4.57;15.87;11.48;
Södra Skåne;2017;34.63;33.78;12.41;9.71;5.19;5.25;9.16;8.66;22.15;47.52;22.88;26.81;73.61;1.28;9.16;8.06;15.34;56.02;50.66;55.75;26.95;74.49;62.44;25.99;8;6.65;4.06;3.12;10.94;14.88;43.04;12.99;30.17;76.49;38.59;4.56;4.23;15.74;11.26;
Södra Skåne;2016_2;32.4;31.49;12.61;8.98;5.26;5.05;8.17;8.75;18.6;48.96;21.24;27;73.03;1.06;10.56;7.8;16.25;58.39;52.69;55.45;26.64;75.6;63.18;25.11;7.23;5.75;3.41;2.34;9.47;13.23;41.41;13.63;32.92;76.24;40.94;5.26;4.73;;;
Södra Skåne;2015;26.41;26.61;10.98;8.96;5.45;5.24;6.86;6.19;14.5;44.76;18.11;25.37;68.23;0.97;9.94;7.53;15.29;58.04;52.55;52.03;23.58;74.55;67.36;21.46;6.22;5.06;3.84;2.3;8.4;12.68;44.6;11.7;26.23;77;39.93;4.93;4.04;;;
Södra Skåne;2013;30.06;26.1;11.22;6.7;4.8;5.06;6.1;4.09;13.26;48.03;21.93;24.18;70.86;0.97;9.95;7.39;15.67;50.97;43.63;47.98;17.91;69.01;71.71;16.92;5.85;3.25;1.55;1.4;5.76;8.54;42.07;11.24;26.71;75.66;46.3;4.94;3.88;;;
Södra Skåne;2012;29.1;27.37;11.8;6.84;4.63;4.07;7.04;4.74;13.75;47.54;22.51;23.38;71.51;1.18;10.41;7.73;16.47;52.81;44.76;49.96;19.18;70.71;71.17;17.23;5.91;3.66;2.1;2.22;6.59;9.17;41.21;12.37;30.02;76.74;47.12;;;;;
Södra Skåne;2011;31.76;32.09;13.28;7.94;5.47;4.82;8.15;5.56;17.47;46.94;26.5;24.03;71.99;1.33;11.18;8.06;17.14;54.25;46.43;50.96;19.41;71.64;70.21;18.43;5.91;4.62;2.39;1.61;6.31;10.07;43.04;11.82;27.46;75.46;43.86;;;;;
Södra Skåne;2010;29.06;32.31;12.68;7.68;5.49;5.05;8.39;5.31;17.09;48.63;26.33;24.39;73.52;1.41;12.1;10.65;19.88;55.81;49.27;51.89;21.97;74.17;68.12;19.58;7.2;4.97;1.7;1.76;7.72;10.97;44.19;13.04;29.52;73.99;41.79;;;;;
Södra Skåne;2009;31.08;33.58;14.36;8.1;5.52;4.86;8.31;5.46;19.27;48.45;32.32;25.7;75.3;1.99;13.68;11.33;22.11;55.16;46.46;53.41;20.52;72.59;67.88;19.12;6.51;4.02;1.91;1.83;6.41;9.69;40.44;14.15;35;73.8;36.68;;;;;
Södra Skåne;2008;34.38;38.52;14.12;7.98;5.78;5.34;9.29;6.15;22.83;48.27;31.7;25.37;77.41;1.9;14.28;13.43;23.82;54.03;46.24;53.56;22.11;72.75;63.52;23.5;6.04;5.49;1.85;2.07;7.48;11.65;38.33;13.74;35.85;;;;;;;
Södra Skåne;2007;30.83;36.85;14.28;8.35;6.23;5.68;9.89;6.22;20.55;48.63;36.19;26.43;77.05;2.17;14.4;12.23;23.04;49.59;43.51;51.25;19.79;69.39;67.9;18.6;6.23;4.69;1.68;1.64;6.53;9.8;38.61;13.15;34.06;;;;;;;
Nordvästra Skåne;2024;35.29;31.04;14.11;14.39;7.08;8.09;9.64;6.09;20.88;50.74;30.51;28.14;73.74;0.98;7.46;6.5;12.44;42.1;45.22;49.48;23.99;65.36;60.78;25.47;8.92;8.27;5.46;2.94;11.23;16.63;49.56;10.48;21.15;75.98;35.14;5.04;4.37;18.48;11.38;11.14
Nordvästra Skåne;2023;37.25;32.96;13.83;14.37;7.25;8.31;9.94;7.02;22.04;51.19;28.62;29.32;75.18;1.18;8.13;7.41;13.67;44.08;46.28;51.25;25.53;67.71;59.48;26.89;9.09;7.23;5.55;2.77;11.34;16.47;48.77;11.63;23.85;76.46;37.28;5.01;4.86;18.05;11.77;12.17
Nordvästra Skåne;2022;39.28;36.11;14.86;13.24;6.49;7.2;10.94;8.11;23.41;52.55;30.31;31.31;76.15;0.82;9;7.36;14.18;47.59;49.22;52.81;25.98;69.46;58.24;26.81;8.85;8.24;4.98;2.84;13.12;17.7;47.76;12.42;26;76.02;35.61;4.07;5.55;18.77;11.8;10.72
Nordvästra Skåne;2021;38.75;33.64;15.2;15.92;6.5;8.39;11.69;8.26;23.64;53.06;31.76;32.35;75.06;1.05;9.98;7.29;14.72;46.68;48.72;52.63;26.87;68.81;56.82;28.66;9.81;7.36;4.35;2.85;12.45;16.04;48.78;13.47;27.61;76.5;36.74;4.59;6.18;19.16;11.08;12.86
Nordvästra Skåne;2020_2;40.54;35.75;16.42;16.14;7.96;8.92;10.93;8.18;24.58;56.58;31.96;32.3;78.85;0.97;9.72;8.08;15.41;50.27;52.3;55.83;29.41;73.22;53.5;30.85;9.73;8.8;4.23;3.09;14.13;18.19;47.78;12.42;25.99;74.5;36.19;4.6;4.74;20.38;13.2;10.96
Nordvästra Skåne;2020_1;43.1;37.78;12.83;13.95;5.35;6.78;11.02;6.77;25.54;45.89;24.62;26.54;76.1;1.24;8.33;6.95;14.37;46.56;47.28;54.85;32.6;71.57;56.31;30.52;10.5;9.47;6.8;4.48;13.81;20.49;50.56;12.65;25.01;75.16;36.7;2.84;5.45;21.41;14.02;11.18
